Sample No.,Compound detected,C16:0,C18:0,Lipid concentration (ng g-1)
SOS030,"C16:0, C18:0",-25.7,-27.3,122345.1
SOS031,"C16:0, C17:0, C18:0",-26,-27.9,119377.1
SOS032,"C14:0, C15:0, C16:0, C16:1, C17:0, C18:0, C18:2, C22:0, C24:0,  C24:1",-23.8,-25.7,37919.8
SOS033,"C14:0, C15:0, C15:1, C16:0, C16:1, C17:0, C18:0, C18:2, C22:0, C24:0, C24:1",-22.8,-31.1,19834.6
SOS035,"C14:0, C16:0, C18:0, C18:2, C22:1, C24:1",-29.5,-27.2,45509.9
SOS036,"C14:0, C16:0, C17:0, C18:0, C18:2, C20:0, C22:0, C22:1, C24:1",-22.8,-24.5,24399.3
SOS037,"C14:0, C16:0, C16:1, C17:0, C18:0,  C18:1, C20:0, C22:1, C24:0, C24:1",-28.8,-28.5,16595.7
SOS038,"C14:0, C14:1, C16:0, C16:1, C17:0, C18:0, C18:2, C19:1, C20:0, C22:0. C22:1, C24:1",-26.5,-24.3,29610.1
SOS039,"C14:0, C15:0, C16:0, C17:0, C18:0, C19:0, C20:0, C22:0, C22:1, C24:1",-30.7,-28.1,31824.2
SOS040,"C14:0, C16:0, C16:1, C17:0, C18:0, C18:2, C20:0, C22:0, C22:1, C24:0, C24:1",-26.2,-23.5,31389.8
SOS041,"C14:0, C16:0, C18:0, C20:0,  C22:0, C22:1, C24:0, C24:1",-26,-23.6,37126.7
SOS042,"C14:0, C14:1, C16:0, C16:1, C17:0, C18:0, C18:2, C20:0, C22:0, C22:1, C23:0, C24:0, C24:1",-23.2,-23.9,22991.1
SOS043,"C14:0, C16:0, C16:1, C18:0, C18:1, C18:2, C19:1, C22:0, C22:1, C23:0, C24:1",-26.8,-26.3,16033.1
SOS045,"C14:0, C16:0, C18:0, C18:2, C22:1, C24:1 ",-28.6,-27.7,36863.2
SOS047,"C14:0, C16:0, C18:0, C18:2, C22:1, C24:1",-29,-27.5,27685.9
SOS048,"C14:0, C16:0, C16:1, C17:0, C18:0, C18:1, C18:2, C22:0, C22:1, C24:1",-26.1,-23.9,24800.1
SOS049,"C16:0, C18:0, C19:0, C20:0, C22:0, C24:0, C24:1, phytanic acid",-27.4,-24.3,30106.2
SOS050,"C14:0, C16:0, C16:1, C17:0, C18:0, C18:2, C20:0, C22:0, C22:1, C23:0, C24:0, C24:1",-27.9,-23.6,23529.1
SOS051,"C14:0, C16:0, C16:1, C17:0, C18:0, C18:1, C18:2, C19:0, C22:0, C22:1, C24:1 ",-22.3,-21.4,17794.2
SOS054,"C14:0, C16:0, C16:1, C17:0, C18:0, C18:2,  C22:0, C22:1, C24:1",-25.2,-25.7,28774.7
SOS055,"C14:0, C16:0, C16:1, C18:0, C18:1, C22:1, C24:1",-27.4,-27.4,28391.7
SOS056,"C14:0, C16:0, C17:0, C18:0, C18:2, C19:0, C19:1, C20:0, C20:2, C21:0, C22:0, C22:1, C23:0, C24:0, C24:1, phytanic acid",-24.6,-22.3,19503.6
SOS057,"C14:0, C16:0, C18:0, C18:2, C20:0, C22:0, C22:1, C24:0, C24:1 ",-25.4,-23,34896.1
SOS058,"C14:0, C16:0, C17:0, C18:0, C18:2, C19:0, C20:0, C22:0, C22:1, C24:0, C24:1",-29,-25,56703.1
SOS060,"C14:0, C16:0, C18:0, C18:2, C22:1, C24:1",-25.8,-24.2,29385.3
SOS062,"C14:0, C16:0, C17:0, C18:0, C18:2, C19:0, C20:0, C22:0, C22:1, C24:0, C24:1",-25.9,-23.5,43995.4
SOS063,"C13:0, C14:0, C14:1, C15:0, C15:1, C16:0, C16:1, C17:0, C18:0, C18:2, C19:0, C19:1, C20:0, C20:2, C21:0, C22:0, C22:1, C23:0, C24:0, C24:1",-25.3,-23.1,45239.6
SOS064,"C14:0, C16:0, C16:1, C17:0, C18:0, C18:1, C18:2, C22:1, C24:1",-25.2,-26.3,19057.7
